epoch,accuracy
1,0.618
2,0.743
3,0.794
4,0.823
5,0.846
6,0.86
7,0.878
8,0.88
9,0.885
10,0.896
11,0.904
12,0.906
13,0.91
14,0.911
15,0.917
16,0.912
17,0.914
18,0.921
19,0.923
20,0.924
21,0.925
22,0.923
23,0.932
24,0.926
25,0.93
26,0.936
27,0.929
28,0.931
29,0.936
30,0.937
31,0.933
32,0.932
33,0.935
34,0.935
35,0.935
36,0.94
37,0.938
38,0.939
39,0.94
40,0.938
41,0.942
42,0.941
43,0.943
44,0.945
45,0.944
46,0.945
47,0.945
48,0.946
49,0.944
50,0.944
51,0.945
52,0.949
53,0.943
54,0.945
55,0.943
56,0.946
57,0.948
58,0.949
59,0.947
60,0.949
61,0.945
62,0.947
63,0.951
64,0.95
65,0.949
66,0.947
67,0.951
68,0.949
69,0.949
70,0.941
71,0.951
72,0.95
73,0.951
74,0.952
75,0.951
76,0.947
77,0.95
78,0.957
79,0.954
80,0.954
81,0.952
82,0.948
83,0.953
84,0.951
85,0.952
86,0.954
87,0.955
88,0.951
89,0.952
90,0.956
91,0.95
92,0.953
93,0.955
94,0.955
95,0.957
96,0.95
97,0.955
98,0.955
99,0.954
